country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Argentina,Bernal,Castro Barros 46,http://skyscraperpage.com/diagrams/images/79011.gif,http://skyscraperpage.com/cities/?buildingID=42201,null,2009,11,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,9 de Julio 416,http://skyscraperpage.com/diagrams/images/79239.gif,http://skyscraperpage.com/cities/?buildingID=105178,2006,2008,11,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete, reinforced - brick",null
Argentina,Bernal,25 de Mayo 40,http://skyscraperpage.com/diagrams/images/79008.gif,http://skyscraperpage.com/cities/?buildingID=4237,null,2012,12,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,Plaza Vista,http://skyscraperpage.com/diagrams/images/79009.gif,http://skyscraperpage.com/cities/?buildingID=3878,null,2009,12,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,Parque Bernal B1,http://skyscraperpage.com/diagrams/images/79438.gif,http://skyscraperpage.com/cities/?buildingID=105301,null,1999,13,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced - brick",null
Argentina,Bernal,Parque Bernal A2,http://skyscraperpage.com/diagrams/images/79493.gif,http://skyscraperpage.com/cities/?buildingID=105316,2012,2014,13,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced - brick",null
Argentina,Bernal,Parque Bernal A1,http://skyscraperpage.com/diagrams/images/79419.gif,http://skyscraperpage.com/cities/?buildingID=105293,null,1999,13,Building Uses - residential; Structural Types - highrise; Materials - brick,null
Argentina,Bernal,Castro Barros 34,http://skyscraperpage.com/diagrams/images/79002.gif,http://skyscraperpage.com/cities/?buildingID=14968,null,1968,13,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,9 de Julio 60,http://skyscraperpage.com/diagrams/images/79405.gif,http://skyscraperpage.com/cities/?buildingID=105279,null,1970,14,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced - brick",null
Argentina,Bernal,Belgrano 328,http://skyscraperpage.com/diagrams/images/79001.gif,http://skyscraperpage.com/cities/?buildingID=15450,null,1971,15,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,Don Bosco 85,http://skyscraperpage.com/diagrams/images/79000.gif,http://skyscraperpage.com/cities/?buildingID=5989,null,1995,15,Building Uses - residential; Structural Types - highrise,null
Argentina,Bernal,Castro Barros 62,http://skyscraperpage.com/diagrams/images/76208.gif,http://skyscraperpage.com/cities/?buildingID=17475,null,1985,19,Building Uses - residential; Structural Types - highrise,null
Argentina,Buenos Aires,Diario La Prensa,http://skyscraperpage.com/diagrams/images/45844.gif,http://skyscraperpage.com/cities/?buildingID=51773,null,1898,5,Building Uses - office - government; Structural Types - highrise,"Description
- Architects: Alberto Gainza, Carlos Agote

"
Argentina,Buenos Aires,Torre Monumental,http://skyscraperpage.com/diagrams/images/74134.gif,http://skyscraperpage.com/cities/?buildingID=5689,1910,1916,7,Building Uses - monument; Structural Types - tower - clock; Materials - copper - steel - stone - brick,"Description
- Architect: Ambrose Poynter

- Constructors: Hopkins & Gardom Ltd

"
Argentina,Buenos Aires,Legislatura de la Ciudad,http://skyscraperpage.com/diagrams/images/41576.gif,http://skyscraperpage.com/cities/?buildingID=44679,1926,1931,7,Building Uses - office - government; Structural Types - highrise - clock; Architectural Style - neo-classical,"Description
- Architect: Héctor Ayerza

"
Argentina,Buenos Aires,Confiteria del Molino,http://skyscraperpage.com/diagrams/images/43457.gif,http://skyscraperpage.com/cities/?buildingID=51846,null,1917,7,Building Uses - mixed use; Structural Types - highrise; Architectural Style - art nouveau,"Description
- Construction Company: GEOPE

"
Argentina,Buenos Aires,Palacio de Correos,http://skyscraperpage.com/diagrams/images/44909.gif,http://skyscraperpage.com/cities/?buildingID=61056,null,1928,8,Building Uses - office - government; Structural Types - highrise; Architectural Style - chateau,null
Argentina,Buenos Aires,Plaza Hotel,http://skyscraperpage.com/diagrams/images/45836.gif,http://skyscraperpage.com/cities/?buildingID=63092,1907,1909,9,Building Uses - hotel; Structural Types - highrise,"Description
- Architect: Alfred Zucker

"
Argentina,Buenos Aires,Archivo General de la Nacion,http://skyscraperpage.com/diagrams/images/43468.gif,http://skyscraperpage.com/cities/?buildingID=56586,null,1912,9,Building Uses - office - government; Structural Types - highrise,null
Argentina,Buenos Aires,Edificio La Inmobiliaria,http://skyscraperpage.com/diagrams/images/43480.gif,http://skyscraperpage.com/cities/?buildingID=56677,null,1910,9,Building Uses - mixed use; Structural Types - highrise,"Description
- Architect: Luigi Broggi

"
Argentina,Buenos Aires,Juan Domingo Peron 300,http://skyscraperpage.com/diagrams/images/44757.gif,http://skyscraperpage.com/cities/?buildingID=60462,null,1912,9,Building Uses - office; Structural Types - highrise,null
Argentina,Buenos Aires,Casa Marconetti,http://skyscraperpage.com/diagrams/images/79784.gif,http://skyscraperpage.com/cities/?buildingID=105456,null,1920,10,Building Uses - residential; Structural Types - highrise,null
Argentina,Buenos Aires,Instituto Biologico Argentino,http://skyscraperpage.com/diagrams/images/71474.gif,http://skyscraperpage.com/cities/?buildingID=51847,null,1929,10,Building Uses - office; Structural Types - highrise - clock,"Description
- Temporally reference image:

http://img205.imageshack.us/img205/2893/argentina020ry0kw0.jpg

"
Argentina,Buenos Aires,Catalinas Sur 4,http://skyscraperpage.com/diagrams/images/78978.gif,http://skyscraperpage.com/cities/?buildingID=105047,1962,1965,11,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete, reinforced - brick",null
