country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
China,Beihai,BeiHai Unicom Tower,http://skyscraperpage.com/diagrams/images/53713.gif,http://skyscraperpage.com/cities/?buildingID=79132,null,2003,14,"Building Uses - office; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced - concrete",null
China,Beihai,Yuehai Tower,http://skyscraperpage.com/diagrams/images/53770.gif,http://skyscraperpage.com/cities/?buildingID=79127,null,1987,15,"Building Uses - office - retail; ; Structural Types - highrise - sign; Architectural Style - modern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Beihai Construction Building,http://skyscraperpage.com/diagrams/images/55839.gif,http://skyscraperpage.com/cities/?buildingID=79767,null,1998,16,"Building Uses - office; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",null
China,Beihai,JiaJia Hotel,http://skyscraperpage.com/diagrams/images/53718.gif,http://skyscraperpage.com/cities/?buildingID=79765,null,1996,17,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - concrete, reinforced",null
China,Beihai,Century Apartment Building E,http://skyscraperpage.com/diagrams/images/53800.gif,http://skyscraperpage.com/cities/?buildingID=80035,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Century Apartment Building A,http://skyscraperpage.com/diagrams/images/53796.gif,http://skyscraperpage.com/cities/?buildingID=80031,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Century Apartment Building B,http://skyscraperpage.com/diagrams/images/53797.gif,http://skyscraperpage.com/cities/?buildingID=80032,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Century Apartment Building F,http://skyscraperpage.com/diagrams/images/53801.gif,http://skyscraperpage.com/cities/?buildingID=80034,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Hai An Ming Du Building,http://skyscraperpage.com/diagrams/images/53839.gif,http://skyscraperpage.com/cities/?buildingID=80233,null,2006,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",null
China,Beihai,Century Apartment Building C,http://skyscraperpage.com/diagrams/images/53798.gif,http://skyscraperpage.com/cities/?buildingID=80036,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Century Apartment Building D,http://skyscraperpage.com/diagrams/images/53799.gif,http://skyscraperpage.com/cities/?buildingID=80033,null,2007,19,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,JoyLife Hotel,http://skyscraperpage.com/diagrams/images/53838.gif,http://skyscraperpage.com/cities/?buildingID=80232,null,2002,21,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - limestone - granite - stucco - concrete, reinforced - fabric",null
China,Beihai,BeiHai Tower,http://skyscraperpage.com/diagrams/images/56283.gif,http://skyscraperpage.com/cities/?buildingID=79578,null,2008,24,"Building Uses - mixed use; ; Structural Types - highrise - dome; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Lan Zuan Hua Ting Building,http://skyscraperpage.com/diagrams/images/53979.gif,http://skyscraperpage.com/cities/?buildingID=80519,null,2006,24,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - marble - granite - stucco - concrete, reinforced",null
China,Beihai,BeiSheng Medicine,http://skyscraperpage.com/diagrams/images/53464.gif,http://skyscraperpage.com/cities/?buildingID=79125,null,2004,24,Building Uses - office; ; Structural Types - highrise; Materials - glass - steel - concrete,null
China,Beihai,HongHai Tower,http://skyscraperpage.com/diagrams/images/53605.gif,http://skyscraperpage.com/cities/?buildingID=79577,null,2003,24,"Building Uses - office; ; Structural Types - highrise - sign; Architectural Style - postmodern; Materials - glass - steel - marble - concrete, reinforced",null
China,Beihai,1 Wan Jia Xing Tower,http://skyscraperpage.com/diagrams/images/53948.gif,http://skyscraperpage.com/cities/?buildingID=79178,null,2007,26,"Building Uses - mixed use - residential; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Coast International Tower I,http://skyscraperpage.com/diagrams/images/72648.gif,http://skyscraperpage.com/cities/?buildingID=79176,2008,2010,27,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Coast International Tower II,http://skyscraperpage.com/diagrams/images/72649.gif,http://skyscraperpage.com/cities/?buildingID=63789,2008,2010,27,"Building Uses - residential; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Yinhui International Hotel,http://skyscraperpage.com/diagrams/images/53514.gif,http://skyscraperpage.com/cities/?buildingID=34458,1993,2004,29,"Building Uses - hotel; ; Structural Types - highrise - dome; Architectural Style - islamic - postmodern; Materials - glass - limestone - concrete, reinforced","Description
• Info Page: http://www.bhyhhotel.com/webpage.asp?pagename=jdjj

"
China,Beihai,Happy Home,http://skyscraperpage.com/diagrams/images/53607.gif,http://skyscraperpage.com/cities/?buildingID=79579,2006,2008,29,"Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,International Financial Tower,http://skyscraperpage.com/diagrams/images/53590.gif,http://skyscraperpage.com/cities/?buildingID=79130,null,2003,30,"Building Uses - office; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced",null
China,Beihai,Bao Yi Tower,http://skyscraperpage.com/diagrams/images/53466.gif,http://skyscraperpage.com/cities/?buildingID=79131,null,2003,30,Building Uses - mixed use; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - concrete,null
China,Beihai,BeiHai Kaixuan International Business Hotel,http://skyscraperpage.com/diagrams/images/53698.gif,http://skyscraperpage.com/cities/?buildingID=79126,1993,2007,33,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel - concrete, reinforced - concrete",null
China,Beihai,Fake Hills Linear Tower Phase 1,http://skyscraperpage.com/diagrams/images/72647.gif,http://skyscraperpage.com/cities/?buildingID=97413,2008,2013,35,Building Uses - residential; ; Structural Types - highrise - hole; Architectural Style - futurism,"Description
Architect: MAD

Structural Engineer: Ma Yan Song

"
China,Beijing,National Minority Hotel,http://skyscraperpage.com/diagrams/images/75358.gif,http://skyscraperpage.com/cities/?buildingID=20665,null,1959,12,Building Uses - hotel; ; Structural Types - highrise,
China,Beijing,Cultural Palace of Nationalities,http://skyscraperpage.com/diagrams/images/81375.gif,http://skyscraperpage.com/cities/?buildingID=107129,null,1959,13,Building Uses - museum; ; Structural Types - highrise,"Description
One of the ""Ten Great Buildings"" built in Beijing in 1959 to commemorate the 10th anniversary of the People's Republic of China.

"
China,Beijing,Bank of China Head Office,http://skyscraperpage.com/diagrams/images/19568.gif,http://skyscraperpage.com/cities/?buildingID=20542,null,2000,15,Building Uses - office; ; Structural Types - highrise,"Description
• Design: Pei Ieon Ming Partnership (architect Ping Mo)

"
China,Beijing,Parkview Green FangCaoDi,http://skyscraperpage.com/diagrams/images/84657.gif,http://skyscraperpage.com/cities/?buildingID=109161,null,2010,18,"Building Uses - mixed use - hotel - office; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - concrete, reinforced","Description
Developer: The Hong Kong Parkview Goup

• Architect: Beijing Institute of Architectural Design

"
China,Beijing,The Ritz-Carlton Beijing Financial Street,http://skyscraperpage.com/diagrams/images/68885.gif,http://skyscraperpage.com/cities/?buildingID=90233,2005,2006,18,Building Uses - hotel; ; Structural Types - highrise,"Description
Architect: Skidmore, Owings & Merrill, Inc.

"
China,Beijing,Sunrise Kempinski Hotel,http://skyscraperpage.com/diagrams/images/84656.gif,http://skyscraperpage.com/cities/?buildingID=109162,2012,2014,20,"Building Uses - hotel; ; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - concrete, reinforced","Description
Developer: Beijing Enterprises International Conference Metropolis Real Estate Co., Ltd.

• Architect: Shanghai Huadu Architect Design Company

"
China,Beijing,Beijing Hotel East Wing,http://skyscraperpage.com/diagrams/images/80601.gif,http://skyscraperpage.com/cities/?buildingID=20688,null,1974,20,Building Uses - hotel; ; Structural Types - highrise,
China,Beijing,Construction Bank of China Headquarters,http://skyscraperpage.com/diagrams/images/15017.gif,http://skyscraperpage.com/cities/?buildingID=10207,null,1999,22,Building Uses - office; ; Structural Types - highrise; Architectural Style - postmodern,
