country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Colombia,Bogota,Camara de Comercio Sede Salitre,http://skyscraperpage.com/diagrams/images/23069.gif,http://skyscraperpage.com/cities/?buildingID=28575,null,2003,8,Building Uses - office; Structural Types - highrise; Architectural Style - modern; Materials - glass - aluminium - concrete,
Colombia,Bogota,Bogota Plaza Hotel,http://skyscraperpage.com/diagrams/images/31763.gif,http://skyscraperpage.com/cities/?buildingID=13195,null,null,10,Building Uses - hotel; Structural Types - highrise,null
Colombia,Bogota,World Trade Center,http://skyscraperpage.com/diagrams/images/32326.gif,http://skyscraperpage.com/cities/?buildingID=13212,null,1986,12,Building Uses - mixed use; Structural Types - highrise,null
Colombia,Bogota,Hotel Andes Plaza,http://skyscraperpage.com/diagrams/images/31131.gif,http://skyscraperpage.com/cities/?buildingID=13192,null,null,12,Building Uses - hotel; Structural Types - highrise,null
Colombia,Bogota,Edificio Ecopetrol,http://skyscraperpage.com/diagrams/images/35060.gif,http://skyscraperpage.com/cities/?buildingID=13197,1957,1960,12,Building Uses - office; Structural Types - highrise,null
Colombia,Bogota,Edificio Flota Mercante Grancolombina,http://skyscraperpage.com/diagrams/images/29993.gif,http://skyscraperpage.com/cities/?buildingID=13206,null,1964,12,Building Uses - office; Structural Types - highrise,
Colombia,Bogota,Balcones de San Esteban I Torre 4,http://skyscraperpage.com/diagrams/images/33042.gif,http://skyscraperpage.com/cities/?buildingID=34819,null,2002,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,La Arboleda del Country int. 3,http://skyscraperpage.com/diagrams/images/33433.gif,http://skyscraperpage.com/cities/?buildingID=19425,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,La Arboleda del Country int. 4,http://skyscraperpage.com/diagrams/images/33434.gif,http://skyscraperpage.com/cities/?buildingID=23423,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban II Torre 2,http://skyscraperpage.com/diagrams/images/33045.gif,http://skyscraperpage.com/cities/?buildingID=35155,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,La Arboleda del Country int. 2,http://skyscraperpage.com/diagrams/images/33432.gif,http://skyscraperpage.com/cities/?buildingID=19424,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban I Torre 2,http://skyscraperpage.com/diagrams/images/33040.gif,http://skyscraperpage.com/cities/?buildingID=34817,null,2002,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban II Torre 1,http://skyscraperpage.com/diagrams/images/33044.gif,http://skyscraperpage.com/cities/?buildingID=35154,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban I Torre 3,http://skyscraperpage.com/diagrams/images/33041.gif,http://skyscraperpage.com/cities/?buildingID=34818,null,2002,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban I Torre 1,http://skyscraperpage.com/diagrams/images/33043.gif,http://skyscraperpage.com/cities/?buildingID=20282,null,2002,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,La Arboleda del Country int. 1,http://skyscraperpage.com/diagrams/images/33431.gif,http://skyscraperpage.com/cities/?buildingID=19423,null,null,13,Building Uses - residential; Structural Types - highrise,null
Colombia,Bogota,Balcones de San Esteban II Torre 3,http://skyscraperpage.com/diagrams/images/33047.gif,http://skyscraperpage.com/cities/?buildingID=35162,null,null,13,Building Uses - residential; Structural Types - highrise,null
