city,name,img,building_page-href,height,date_start,date_end,floors,tags,description
Chiba,Makuhari Techno Garden Building B,http://skyscraperpage.com/diagrams/images/69147.gif,http://skyscraperpage.com/cities/?buildingID=37351,348 ft,null,1990,24,Building Uses - office; Structural Types - highrise,
Chiba,Makuhari Techno Garden Building D,http://skyscraperpage.com/diagrams/images/69148.gif,http://skyscraperpage.com/cities/?buildingID=37350,348 ft,null,1990,24,Building Uses - office; Structural Types - highrise,
Chiba,Jusco Aeon Tower,http://skyscraperpage.com/diagrams/images/69145.gif,http://skyscraperpage.com/cities/?buildingID=27365,369 ft,null,1994,26,Building Uses - office; Structural Types - highrise,
Chiba,Canon Sales Co. Inc. Head Office,http://skyscraperpage.com/diagrams/images/62683.gif,http://skyscraperpage.com/cities/?buildingID=27364,377 ft,null,1994,26,Building Uses - office; Structural Types - highrise,
Chiba,Seiko Instruments Makuhari Headquarters,http://skyscraperpage.com/diagrams/images/62686.gif,http://skyscraperpage.com/cities/?buildingID=27363,381 ft,null,1993,26,Building Uses - office; Structural Types - highrise,
Chiba,Chiba Port Square Port Side Tower,http://skyscraperpage.com/diagrams/images/88215.gif,http://skyscraperpage.com/cities/?buildingID=27362,400 ft,null,1993,29,Building Uses - office; Structural Types - highrise,"Description
• Architect: Kawasaki Steel Engineering

"
Chiba,NTT Makuhari Building,http://skyscraperpage.com/diagrams/images/62685.gif,http://skyscraperpage.com/cities/?buildingID=27361,405 ft,null,1993,26,Building Uses - office; Structural Types - highrise,
Chiba,Proud Tower Inage,http://skyscraperpage.com/diagrams/images/69144.gif,http://skyscraperpage.com/cities/?buildingID=66828,411 ft,2007,2009,37,Building Uses - residential; Structural Types - highrise,
Chiba,Chiba Port Tower,http://skyscraperpage.com/diagrams/images/69150.gif,http://skyscraperpage.com/cities/?buildingID=27360,411 ft,1984,1986,4,Building Uses - observation; Structural Types - tower - highrise; Materials - glass - steel,"Description
• Architect: Nikken Sekkei Ltd.

"
Chiba,Sumitomo Chemical Engineering Center Building,http://skyscraperpage.com/diagrams/images/69149.gif,http://skyscraperpage.com/cities/?buildingID=27359,458 ft,null,1993,27,Building Uses - office; Structural Types - highrise,
Chiba,Chiba Central Tower,http://skyscraperpage.com/diagrams/images/69146.gif,http://skyscraperpage.com/cities/?buildingID=51581,497 ft,2006,2009,43,"Building Uses - residential - retail; Structural Types - highrise; Materials - concrete, reinforced","Description
• Architects: Irie Miyake Architects & Engineers

• Structural engineering: Zenitaka Corporation

"
Chiba,World Business Garden Marive East,http://skyscraperpage.com/diagrams/images/63398.gif,http://skyscraperpage.com/cities/?buildingID=3843,517 ft,1989,1991,35,Building Uses - office; Structural Types - highrise,"Description
• Architects: Nikken Sekkei, Kajima Design

• Structural engineering: Kajima Design, Sumitomo Mitsui Construction Co., Ltd., Kumagai Gumi Co., Ltd., Mitsui Fudosan Construction

"
Chiba,World Business Garden Marive West,http://skyscraperpage.com/diagrams/images/63399.gif,http://skyscraperpage.com/cities/?buildingID=51633,517 ft,1989,1991,35,Building Uses - office; Structural Types - highrise,"Description
• Architect: Nikken Sekkei, Kajima Design

• Structural engineering: Kajima Design, Sumitomo Mitsui Construction Co., Ltd., Kumagai Gumi Co., Ltd., Mitsui Fudosan Construction

"
Chiba,APA Hotel & Resort Tokyo Bay Makuhari,http://skyscraperpage.com/diagrams/images/5912.gif,http://skyscraperpage.com/cities/?buildingID=5914,601 ft,null,1995,49,Building Uses - hotel; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - steel,
Hiroshima,Nakamachi Mitsui Building,http://skyscraperpage.com/diagrams/images/22225.gif,http://skyscraperpage.com/cities/?buildingID=27124,283 ft,null,1989,25,Building Uses - hotel; Structural Types - highrise,
Hiroshima,Crystal Plaza,http://skyscraperpage.com/diagrams/images/22686.gif,http://skyscraperpage.com/cities/?buildingID=27982,295 ft,null,null,20,Building Uses - office; Structural Types - highrise,
Hiroshima,Midorii Sky Stage,http://skyscraperpage.com/diagrams/images/22224.gif,http://skyscraperpage.com/cities/?buildingID=27798,299 ft,2001,2003,28,Building Uses - mixed use; Structural Types - highrise,
Hiroshima,Electric Building,http://skyscraperpage.com/diagrams/images/22662.gif,http://skyscraperpage.com/cities/?buildingID=27799,308 ft,null,null,21,Building Uses - office; Structural Types - highrise,
Hiroshima,A-City Towers West,http://skyscraperpage.com/diagrams/images/22658.gif,http://skyscraperpage.com/cities/?buildingID=27650,330 ft,null,1994,31,Building Uses - residential; Structural Types - highrise; Materials - concrete,
Hiroshima,A-City Towers East,http://skyscraperpage.com/diagrams/images/22659.gif,http://skyscraperpage.com/cities/?buildingID=27652,330 ft,null,1994,31,Building Uses - residential; Structural Types - highrise; Materials - concrete,
Hiroshima,NHK Hiroshima,http://skyscraperpage.com/diagrams/images/21798.gif,http://skyscraperpage.com/cities/?buildingID=27114,332 ft,null,null,21,Building Uses - office - communication; Structural Types - highrise,
Hiroshima,Hiroshima Washington Hotel Plaza,http://skyscraperpage.com/diagrams/images/21856.gif,http://skyscraperpage.com/cities/?buildingID=27122,334 ft,null,1994,23,Building Uses - hotel; Structural Types - highrise,
Hiroshima,NTT DoCoMo Chugoku Building,http://skyscraperpage.com/diagrams/images/21182.gif,http://skyscraperpage.com/cities/?buildingID=27119,456 ft,2002,2004,21,Building Uses - office; Structural Types - highrise,
Hiroshima,Rihga Royal Hotel Hiroshima,http://skyscraperpage.com/diagrams/images/10617.gif,http://skyscraperpage.com/cities/?buildingID=8291,492 ft,null,1993,35,Building Uses - hotel - conference - parking garage - retail; Structural Types - highrise; Architectural Style - postmodern,
Hiroshima,Urban View Grand Tower,http://skyscraperpage.com/diagrams/images/20867.gif,http://skyscraperpage.com/cities/?buildingID=11097,545 ft,2000,2004,43,Building Uses - residential - office - restaurant; Structural Types - highrise,
Kawasaki,NEC Tamagawa Renaissance City Phase I,http://skyscraperpage.com/diagrams/images/62818.gif,http://skyscraperpage.com/cities/?buildingID=29789,365 ft,1997,2000,26,Building Uses - office; Structural Types - highrise,
Kawasaki,Brillia Tower Kawasaki,http://skyscraperpage.com/diagrams/images/62989.gif,http://skyscraperpage.com/cities/?buildingID=55526,386 ft,2006,2008,34,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural design: Mitsui Sumitomo

"
Kawasaki,Lazona Kawasaki Residence Central Tower,http://skyscraperpage.com/diagrams/images/62912.gif,http://skyscraperpage.com/cities/?buildingID=39244,407 ft,2004,2007,34,Building Uses - residential; Structural Types - highrise,
Kawasaki,NTT DoCoMo Kawasaki Building,http://skyscraperpage.com/diagrams/images/63022.gif,http://skyscraperpage.com/cities/?buildingID=29793,427 ft,1999,2002,19,Building Uses - office - communication; Structural Types - highrise; Architectural Style - structural expressionism,
Kawasaki,Crescent Kawasaki Tower,http://skyscraperpage.com/diagrams/images/62783.gif,http://skyscraperpage.com/cities/?buildingID=55523,429 ft,2006,2009,38,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural design: Sumitomo Mitsui Construction Co., Ltd.

"
Kawasaki,Shin-Kawasaki Mitsui Building East,http://skyscraperpage.com/diagrams/images/62766.gif,http://skyscraperpage.com/cities/?buildingID=29791,440 ft,1986,1989,31,Building Uses - office; Structural Types - highrise,
Kawasaki,Shin-Kawasaki Mitsui Building West,http://skyscraperpage.com/diagrams/images/62765.gif,http://skyscraperpage.com/cities/?buildingID=29792,440 ft,1986,1989,31,Building Uses - office; Structural Types - highrise,
Kawasaki,NEC Tamagawa Renaissance City Phase II,http://skyscraperpage.com/diagrams/images/62819.gif,http://skyscraperpage.com/cities/?buildingID=29788,510 ft,2002,2005,37,Building Uses - office; Structural Types - highrise,
Kawasaki,The Kosugi Tower,http://skyscraperpage.com/diagrams/images/62786.gif,http://skyscraperpage.com/cities/?buildingID=42942,525 ft,null,2008,49,Building Uses - residential; Structural Types - highrise,
Kawasaki,Lieto Court Musashi-Kosugi East Tower,http://skyscraperpage.com/diagrams/images/62785.gif,http://skyscraperpage.com/cities/?buildingID=39224,529 ft,2005,2008,47,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural engineering: Kajima Corporation

"
Kawasaki,Lieto Court Musashi-Kosugi West Building,http://skyscraperpage.com/diagrams/images/62784.gif,http://skyscraperpage.com/cities/?buildingID=39223,531 ft,2005,2008,47,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural engineering: Kajima Corporation

"
Kawasaki,Park City Musashi-Kosugi Station Forest Tower,http://skyscraperpage.com/diagrams/images/62910.gif,http://skyscraperpage.com/cities/?buildingID=39222,534 ft,2005,2009,47,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural engineering: Takenaka Corporation

"
Kawasaki,Park City Musashi-Kosugi Mid Sky Tower,http://skyscraperpage.com/diagrams/images/62909.gif,http://skyscraperpage.com/cities/?buildingID=39221,668 ft,2005,2009,59,Building Uses - residential; Structural Types - highrise,"Description
• Architect and structural engineering: Takenaka Corporation

"
Kobe,Kaigan Building,http://skyscraperpage.com/diagrams/images/66489.gif,http://skyscraperpage.com/cities/?buildingID=32537,220 ft,null,1998,15,Building Uses - office; Structural Types - highrise,"Description
Architect: Showa Aircraft Industry

"
Kobe,Kobe Asahi Building,http://skyscraperpage.com/diagrams/images/3549.gif,http://skyscraperpage.com/cities/?buildingID=3551,338 ft,null,1994,26,Building Uses - office; Structural Types - highrise,
Kobe,Kobe Port Tower,http://skyscraperpage.com/diagrams/images/6418.gif,http://skyscraperpage.com/cities/?buildingID=439,354 ft,null,1963,null,Building Uses - observation; Structural Types - tower - truss; Materials - steel,
Kobe,"Kobe Commerce, Industry and Trade Center",http://skyscraperpage.com/diagrams/images/62983.gif,http://skyscraperpage.com/cities/?buildingID=32511,364 ft,1967,1969,26,Building Uses - office; Structural Types - highrise,"Description
Architect: Nikken Sekkei Ltd.

"
