country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Moldova,Chisinau,Belfry of the Nativity Cathedral,http://skyscraperpage.com/diagrams/images/84219.gif,http://skyscraperpage.com/cities/?buildingID=109459,null,1998,4,Building Uses - religious; Structural Types - tower; Architectural Style - neo-classical,null
Moldova,Chisinau,Moldovan Parliament Building,http://skyscraperpage.com/diagrams/images/86056.gif,http://skyscraperpage.com/cities/?buildingID=110011,1976,1979,10,Building Uses - capitol building; Structural Types - highrise; Architectural Style - modern; Materials - marble - granite - concrete,null
Moldova,Chisinau,Sun City,http://skyscraperpage.com/diagrams/images/86055.gif,http://skyscraperpage.com/cities/?buildingID=107827,2009,2012,13,Building Uses - retail; Structural Types - highrise; Architectural Style - postmodern,null
Moldova,Chisinau,Piata Unirii Principatelor 3,http://skyscraperpage.com/diagrams/images/84256.gif,http://skyscraperpage.com/cities/?buildingID=107998,null,null,17,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete,null
Moldova,Chisinau,Piata Unirii Principatelor 1,http://skyscraperpage.com/diagrams/images/84255.gif,http://skyscraperpage.com/cities/?buildingID=107997,null,null,17,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete,null
Moldova,Chisinau,Grand Park Residences,http://skyscraperpage.com/diagrams/images/87978.gif,http://skyscraperpage.com/cities/?buildingID=109663,null,2009,17,Building Uses - residential; Structural Types - highrise; Architectural Style - postmodern,null
Moldova,Chisinau,Hotel National,http://skyscraperpage.com/diagrams/images/16296.gif,http://skyscraperpage.com/cities/?buildingID=19573,null,1973,17,"Building Uses - hotel - conference - restaurant; Structural Types - highrise; Architectural Style - international - modern; Materials - concrete, reinforced",
Moldova,Chisinau,Ministry of Agriculture and Food Industry,http://skyscraperpage.com/diagrams/images/88353.gif,http://skyscraperpage.com/cities/?buildingID=110285,null,null,18,Building Uses - office; Structural Types - highrise; Architectural Style - modern,null
Moldova,Chisinau,MoldTelecom,http://skyscraperpage.com/diagrams/images/84509.gif,http://skyscraperpage.com/cities/?buildingID=107800,null,null,18,Building Uses - office; Structural Types - highrise; Architectural Style - modern; Materials - concrete,null
Moldova,Chisinau,29 Dacia Blvd.,http://skyscraperpage.com/diagrams/images/74368.gif,http://skyscraperpage.com/cities/?buildingID=100373,null,1977,20,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced",null
Moldova,Chisinau,33 Dacia Blvd.,http://skyscraperpage.com/diagrams/images/74369.gif,http://skyscraperpage.com/cities/?buildingID=100374,null,1977,20,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced",null
Moldova,Chisinau,25 Dacia Blvd.,http://skyscraperpage.com/diagrams/images/74367.gif,http://skyscraperpage.com/cities/?buildingID=100376,null,1977,20,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced",null
Moldova,Chisinau,37 Dacia Blvd.,http://skyscraperpage.com/diagrams/images/74370.gif,http://skyscraperpage.com/cities/?buildingID=100375,null,1977,20,"Building Uses - residential; Structural Types - highrise; Materials - concrete, reinforced",null
Moldova,Chisinau,Cosmos Hotel,http://skyscraperpage.com/diagrams/images/84594.gif,http://skyscraperpage.com/cities/?buildingID=107799,null,1983,22,Building Uses - hotel; Structural Types - highrise; Architectural Style - modern; Materials - concrete,null
