country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Panama,Panama,Torre de las Americas A y B,http://skyscraperpage.com/diagrams/images/57714.gif,http://skyscraperpage.com/cities/?buildingID=43318,2005,2006,22,"Building Uses - office; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - concrete, reinforced",null
Panama,Panama,BBVA Tower,http://skyscraperpage.com/diagrams/images/78845.gif,http://skyscraperpage.com/cities/?buildingID=22678,null,1979,25,"Building Uses - office; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",null
Panama,Panama,Torre Generali,http://skyscraperpage.com/diagrams/images/37536.gif,http://skyscraperpage.com/cities/?buildingID=22633,null,2002,27,Building Uses - office - parking garage; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,Torre Banco Panamá,http://skyscraperpage.com/diagrams/images/78849.gif,http://skyscraperpage.com/cities/?buildingID=99696,null,2011,28,Building Uses - office; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,Costa Pacífica Torre 100,http://skyscraperpage.com/diagrams/images/57875.gif,http://skyscraperpage.com/cities/?buildingID=43361,2005,2006,29,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,Pacific Hills Torre 100,http://skyscraperpage.com/diagrams/images/57873.gif,http://skyscraperpage.com/cities/?buildingID=22564,null,null,30,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete, reinforced",null
Panama,Panama,Pacific Hills Torre 200,http://skyscraperpage.com/diagrams/images/57874.gif,http://skyscraperpage.com/cities/?buildingID=22597,null,null,30,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - concrete, reinforced",null
Panama,Panama,Marina Terrace,http://skyscraperpage.com/diagrams/images/64025.gif,http://skyscraperpage.com/cities/?buildingID=44914,2005,2006,32,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,South Beach,http://skyscraperpage.com/diagrams/images/58353.gif,http://skyscraperpage.com/cities/?buildingID=45225,null,2007,32,Building Uses - residential; Structural Types - highrise,null
Panama,Panama,Banco Continental,http://skyscraperpage.com/diagrams/images/26210.gif,http://skyscraperpage.com/cities/?buildingID=22665,null,1998,32,"Building Uses - office - parking garage; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",null
Panama,Panama,Bayshore,http://skyscraperpage.com/diagrams/images/57908.gif,http://skyscraperpage.com/cities/?buildingID=22284,null,1997,33,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,Pradera,http://skyscraperpage.com/diagrams/images/64028.gif,http://skyscraperpage.com/cities/?buildingID=45224,2005,2007,33,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null
Panama,Panama,Cresta Palace,http://skyscraperpage.com/diagrams/images/57887.gif,http://skyscraperpage.com/cities/?buildingID=43362,null,2008,33,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",null
Panama,Panama,Park One,http://skyscraperpage.com/diagrams/images/64029.gif,http://skyscraperpage.com/cities/?buildingID=92628,null,2008,33,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null
