city,name,img,building_page-href,height_ft,date_start,date_end,floors,tags,,country
Akron,Radisson Hotel Akron City Centre,http://skyscraperpage.com/diagrams/images/59623.gif,http://skyscraperpage.com/cities/?buildingID=14407,null,null,null,19,Building Uses - hotel; Structural Types - highrise,null,null
Akron,William E. Fowler Apartments,http://skyscraperpage.com/diagrams/images/79188.gif,http://skyscraperpage.com/cities/?buildingID=14445,null,null,1973,13,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,null,null
Akron,Callis Towers,http://skyscraperpage.com/diagrams/images/59624.gif,http://skyscraperpage.com/cities/?buildingID=14426,null,null,null,14,Building Uses - residential; Structural Types - highrise,null,null
Akron,FirstMerit Tower,http://skyscraperpage.com/diagrams/images/19232.gif,http://skyscraperpage.com/cities/?buildingID=1207,442,1929,1931,27,Building Uses - office; Structural Types - highrise; Architectural Style - art deco - streamline moderneMaterials - steel - limestone - terra cotta - brick,"
- Architect: Walker and Weeks
- This has been Akron's tallest building since its completion.
",null
Akron,National City Center,http://skyscraperpage.com/diagrams/images/1207.gif,http://skyscraperpage.com/cities/?buildingID=1209,316,null,1969,26,Building Uses - office; Structural Types - highrise; Architectural Style - international; Materials - glass - steel,,null
Akron,First Energy Center,http://skyscraperpage.com/diagrams/images/1208.gif,http://skyscraperpage.com/cities/?buildingID=1210,279,null,1976,19,Building Uses - office; Structural Types - highrise,,null
Akron,Quaker Oats Cereal Factory,http://skyscraperpage.com/diagrams/images/64209.gif,http://skyscraperpage.com/cities/?buildingID=14446,217,null,1939,12,Building Uses - industrial; Structural Types - highrise - tower,,null
Akron,Mayflower Manor Apartments,http://skyscraperpage.com/diagrams/images/17798.gif,http://skyscraperpage.com/cities/?buildingID=14372,207,null,1931,16,Building Uses - residential; Structural Types - highrise,,null
Akron,Goodyear Polymer Science Center,http://skyscraperpage.com/diagrams/images/3515.gif,http://skyscraperpage.com/cities/?buildingID=3517,182,null,1991,12,Building Uses - education - science; Structural Types - highrise; Architectural Style - modern; Materials - glass,"
- Architect: Richard Fleischmann and Associates

",null
Akron,Canal Place,http://skyscraperpage.com/diagrams/images/3427.gif,http://skyscraperpage.com/cities/?buildingID=3429,174,null,1928,12,Building Uses - residential; Structural Types - highrise,,null
Akron,Bulger Residence Hall,http://skyscraperpage.com/diagrams/images/17796.gif,http://skyscraperpage.com/cities/?buildingID=14375,160,null,1969,15,Building Uses - residential - university; Structural Types - highrise,,null
Akron,Landmark Building,http://skyscraperpage.com/diagrams/images/17799.gif,http://skyscraperpage.com/cities/?buildingID=14420,158,null,1925,12,Building Uses - office; Structural Types - highrise,,null
Akron,Key Building,http://skyscraperpage.com/diagrams/images/59727.gif,http://skyscraperpage.com/cities/?buildingID=14438,150,1910,1911,11,Building Uses - office; Structural Types - highrise,,null
Akron,Ameritech Building,http://skyscraperpage.com/diagrams/images/17802.gif,http://skyscraperpage.com/cities/?buildingID=14404,136,null,1929,7,Building Uses - office; Structural Types - highrise,,null
Akron,CitiCenter Building,http://skyscraperpage.com/diagrams/images/17856.gif,http://skyscraperpage.com/cities/?buildingID=14379,128,1930,1931,10,Building Uses - office; Structural Types - highrise,,null
Akron,,,,,,,,,,null
Albany,40 North Pearl Street,http://skyscraperpage.com/diagrams/images/55965.gif,http://skyscraperpage.com/cities/?buildingID=40302,null,null,1976,16,Building Uses - office - government; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick,null,null
