country,city,name,img,building_page-href,date_start,date_end,floors,tags,developer
United States,Atlantic City,Ocean Tower,../skyscraperpage.com/diagrams/images/37466.gif,http://skyscraperpage.com/cities/?buildingID=17705,null,1929,17,Building Uses - hotel - casino - restaurant - retail: Structural Types - highrise: Architectural Style - art deco: Materials - glass - steel - concrete,
United States,Atlantic City,Atlantic Palace Suites,../skyscraperpage.com/diagrams/images/15909.gif,http://skyscraperpage.com/cities/?buildingID=17433,null,1986,31,Building Uses - residential - hotel: Structural Types - highrise,
United States,Atlantic City,Resorts Atlantic City - Rendezvous Tower,../skyscraperpage.com/diagrams/images/37464.gif,http://skyscraperpage.com/cities/?buildingID=35490,2003,2004,27,Building Uses - hotel - casino - restaurant - retail: Structural Types - highrise: Architectural Style - art deco - postmodern: Materials - glass - steel - concrete,
United States,Atlantic City,Harrahs Bayview Tower,../skyscraperpage.com/diagrams/images/47325.gif,http://skyscraperpage.com/cities/?buildingID=17454,null,2002,25,Building Uses - hotel - casino: Structural Types - highrise,
United States,Atlantic City,Tropicana Casino & Resort West Tower,../skyscraperpage.com/diagrams/images/15968.gif,http://skyscraperpage.com/cities/?buildingID=17527,null,1980,32,Building Uses - hotel - casino: Structural Types - highrise,
United States,Atlantic City,Revel Entertainment Resort - South Tower,../skyscraperpage.com/diagrams/images/67091.gif,http://skyscraperpage.com/cities/?buildingID=68604,2008,2012,47,Building Uses - hotel - casino - parking garage - restaurant - retail - cinema - fitness center: Structural Types - highrise: Architectural Style - modern: Materials - glass,
United States,Atlantic City,Harrahs Waterfront Tower,../skyscraperpage.com/diagrams/images/47336.gif,http://skyscraperpage.com/cities/?buildingID=41039,2005,2008,37,Building Uses - hotel - casino - conference - parking garage - restaurant - retail - fitness center: Structural Types - highrise: Architectural Style - modern,
United States,Atlantic City,Trump Taj Mahal - Chairman Tower,../skyscraperpage.com/diagrams/images/52731.gif,http://skyscraperpage.com/cities/?buildingID=41040,2006,2008,42,Building Uses - hotel - casino - garden - parking garage - restaurant - retail - fitness center: Structural Types - highrise: Architectural Style - modern,
United States,Atlantic City,The Water Club at Borgata,../skyscraperpage.com/diagrams/images/47312.gif,http://skyscraperpage.com/cities/?buildingID=41037,2006,2008,39,Building Uses - hotel - casino - garden - parking garage - restaurant - retail - fitness center: Structural Types - highrise: Architectural Style - modern: Materials - glass,
United States,Atlantic City,Borgata Hotel & Casino,../skyscraperpage.com/diagrams/images/47324.gif,http://skyscraperpage.com/cities/?buildingID=9981,2000,2003,40,Building Uses - hotel - casino - conference - parking garage - restaurant - retail - theatre - fitness center: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - concrete,
United States,Atlantic City,Trump Taj Mahal,../skyscraperpage.com/diagrams/images/52758.gif,http://skyscraperpage.com/cities/?buildingID=4769,null,1990,42,Building Uses - hotel - casino - conference - parking garage - restaurant - retail: Structural Types - highrise: Architectural Style - modern,
United States,Atlantic City,Ballys Atlantic City,../skyscraperpage.com/diagrams/images/16896.gif,http://skyscraperpage.com/cities/?buildingID=4717,1987,1989,37,Building Uses - hotel - casino: Structural Types - highrise: Architectural Style - modern,
United States,Atlantic City,Claridge Tower at Ballys,../skyscraperpage.com/diagrams/images/20987.gif,http://skyscraperpage.com/cities/?buildingID=17142,1929,1930,24,Building Uses - hotel - casino: Structural Types - highrise: Architectural Style - beaux arts - renaissance revival,
United States,Atlantic City,Ocean Club Condominiums East Tower,../skyscraperpage.com/diagrams/images/41453.gif,http://skyscraperpage.com/cities/?buildingID=17143,1983,1984,34,Building Uses - residential: Structural Types - highrise: Architectural Style - modern,
United States,Atlantic City,Ocean Club Condominiums West Tower,../skyscraperpage.com/diagrams/images/41454.gif,http://skyscraperpage.com/cities/?buildingID=17144,1983,1984,34,Building Uses - residential: Structural Types - highrise: Architectural Style - modern,
