county,city,name,img,building_site,date_start,date_end,floors,tags,owner_developer,trump_status
Canada,Toronto,Telus House,../skyscraperpage.com/diagrams/images/87359.gif,http://skyscraperpage.com/cities/?buildingID=42321,2006,2009,30,Building Usesξ-ξofficeξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξgranite,Menkes Developments,
Canada,Toronto,James Cooper Mansion,../skyscraperpage.com/diagrams/images/57006.gif,http://skyscraperpage.com/cities/?buildingID=52002,null,2011,32,"Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξsteelξ-ξconcrete, reinforcedξ-ξbrick",Tridel Corporation,
Canada,Toronto,Lumiere,../skyscraperpage.com/diagrams/images/56564.gif,http://skyscraperpage.com/cities/?buildingID=48553,2007,2011,32,"Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξsteelξ-ξconcrete, reinforced",Menkes Developments,
Canada,Toronto,One Bedford on Bloor,../skyscraperpage.com/diagrams/images/56985.gif,http://skyscraperpage.com/cities/?buildingID=29457,2006,2011,32,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete,Lanterra Developments,
Canada,Toronto,The Eglinton,../skyscraperpage.com/diagrams/images/85735.gif,http://skyscraperpage.com/cities/?buildingID=98552,2016,null,33,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise,Menkes Developments,
Canada,Toronto,Accolade,../skyscraperpage.com/diagrams/images/87652.gif,http://skyscraperpage.com/cities/?buildingID=48281,2007,2009,34,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete,Tridel Corporation,
Canada,Toronto,Avani I,../skyscraperpage.com/diagrams/images/87653.gif,http://skyscraperpage.com/cities/?buildingID=42210,2014,2016,35,Building Usesξ-ξresidentialξ-ξparking garage; Structural Typesξ-ξhighrise,Tridel Corporation,
Canada,Toronto,EQ1 at Equinox,../skyscraperpage.com/diagrams/images/56844.gif,http://skyscraperpage.com/cities/?buildingID=42365,2006,2009,35,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξconcrete,Monarch Construction,
Canada,Toronto,Hullmark Centre II,../skyscraperpage.com/diagrams/images/59303.gif,http://skyscraperpage.com/cities/?buildingID=54415,2010,2014,35,Building Usesξ-ξresidentialξ-ξofficeξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminium,Tridel Corporation,
Canada,Toronto,Infinity East,../skyscraperpage.com/diagrams/images/57037.gif,http://skyscraperpage.com/cities/?buildingID=8636,null,2007,35,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete,The Conservatory Group,
Canada,Toronto,Infinity�_,../skyscraperpage.com/diagrams/images/74677.gif,http://skyscraperpage.com/cities/?buildingID=78583,2010,2015,35,"Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete, reinforced",The Conservatory Group,
Canada,Toronto,Murano North,../skyscraperpage.com/diagrams/images/54635.gif,http://skyscraperpage.com/cities/?buildingID=29207,2006,2009,35,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξaluminium,Lanterra Developments,
Canada,Toronto,One York Street,../skyscraperpage.com/diagrams/images/84927.gif,http://skyscraperpage.com/cities/?buildingID=98546,2013,2016,35,Building Usesξ-ξofficeξ-ξretail; Structural Typesξ-ξhighrise,Menkes Developments,
Canada,Toronto,18 Yorkville,../skyscraperpage.com/diagrams/images/10755.gif,http://skyscraperpage.com/cities/?buildingID=8402,2003,2005,36,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξbrick,Great Gulf Homes,
Canada,Toronto,Harbourview Estates IIIB,../skyscraperpage.com/diagrams/images/56896.gif,http://skyscraperpage.com/cities/?buildingID=18653,null,2006,36,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξsteelξ-ξaluminiumξ-ξconcrete,Concord Adex Developments,
Canada,Toronto,Lighthouse East Tower,../skyscraperpage.com/diagrams/images/86040.gif,http://skyscraperpage.com/cities/?buildingID=106921,2016,null,36,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise,Daniels Corporation,
Canada,Toronto,Platinum Towers,../skyscraperpage.com/diagrams/images/56731.gif,http://skyscraperpage.com/cities/?buildingID=18630,null,2005,36,"Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete, reinforced",The Conservatory Group,
Canada,Toronto,Platinum XO,../skyscraperpage.com/diagrams/images/56753.gif,http://skyscraperpage.com/cities/?buildingID=18654,2006,2008,36,"Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete, reinforced",The Conservatory Group,
Canada,Toronto,The Charlie,../skyscraperpage.com/diagrams/images/57275.gif,http://skyscraperpage.com/cities/?buildingID=29459,2009,2013,36,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξbrick,Great Gulf Homes,
